'ลำดับ','หมายเลขบ่อ','พิกัดออก','พิกัดเหนือ','UTM โซน (ออก-ตก)','Latitude','Longitude','หมู่ที่','สถานที่เจาะ','ตำบล','อำเภอ','จังหวัด','ประเภทบ่อ','สภาพน้ำ','ความลึกเจาะ','ความลึกพัฒนา','ปริมาณน้ำ','ระดับน้ำปกติ',ระยะน้ำลด
1,'G1205',682948.0,1536250.0,47.0,13.890187383349,100.69308713562,??,โรงเรียนนวมินทราชูทิศ,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,135.0,129.0,22.73,45.0,12.9
2,'PW23953',682130.0,1534444.0,47.0,13.873916967505,100.68540135065001,??,วัดพระยาสุเรนทร์,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,135.0,122.69,15.0,45.0,7.0
3,'PW22250',687928.0,1538286.0,47.0,13.908264629451999,100.73929694257,??,ศูนย์อนามัยสามวาตะวันออก,สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,140.0,130.31,10.5,50.0,2.0
4,'PW23196',691724.0,1534210.0,47.0,13.871174262928,100.77413716662,??,วัดสุขใจ,สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,120.0,107.7,20.0,47.0,8.0
5,'DN58',691170.0,1539205.0,47.0,13.916354521049,100.76935514526,??,มัสยิดดารุลสลาม (บ้านคลองแปด),สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,186.0,186.0,30.0,58.0,32.0
6,'DN59',691252.0,1537988.0,47.0,13.905350197435999,100.77003017679,??,มัสยิดดารุลสะดาดะห์,สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,178.0,178.0,40.0,51.0,30.0
7,'PW25603',688211.0,1530806.0,47.0,13.840643113801999,100.74141074828,01,วัดจินดิตวิหาร,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,120.0,113.98,8.0,53.0,8.0
8,'AFD1',688212.0,1530807.0,47.0,13.840652085907,100.74142006496,01,วัดธุดงคสถาน,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,195.12,,18.18,60.98,97.56
9,'AFD2',688211.0,1530806.0,47.0,13.840643113801999,100.74141074828,01,วัดธุดงคสถาน,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,195.12,,18.18,60.98,97.56
10,'PW23411',686906.0,1531850.0,47.0,13.850164157998,100.72940999838,03,วัดบัวแก้วศรัทธาราม,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,120.0,112.58,20.0,51.0,4.0
11,'PW111',669824.0,1530674.0,47.0,13.840599694513,100.57132594709,,หน่วยเครื่องมือกล(กรมทรัพยากรน้ำบาดาล),ลาดยาว,จตุจักร,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,183.45,,7.5,8.2,
12,'AFD3',671121.0,1540868.0,47.0,13.932661254331999,100.5839492257,04,หมู่บ้านสวัสดิการทหารบก,สีกัน,ดอนเมือง,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,259.15,,68.18,36.59,59.45
13,'AFD4',671109.0,1540690.0,47.0,13.931053124013,100.58382721445999,04,หมู่บ้านสวัสดิการทหารบก,สีกัน,ดอนเมือง,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,259.15,,68.18,36.59,59.45
14,'BKK20',644242.0,1526194.0,47.0,13.801505567477,100.33444297312,03,วัดปุรณาวาส,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,202.0,200.0,20.0,32.0,0.0
15,'BKK4',678848.0,1520035.0,47.0,13.743891954788001,100.65412052402,11,สนามกอล์ฟกรุงเทพกรีฑา,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,200.0,196.0,20.0,34.0,0.0
16,'BKK12',678841.0,1520038.0,47.0,13.743919503817,100.65405599216999,11,สนามกอล์ฟกรุงเทพกรีฑา,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,168.0,164.0,15.0,36.0,0.0
17,'DN1',651791.0,1503953.0,47.0,13.600070898039,100.40307405108,??,บ้านบางกระดี่,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,573.0,573.0,41.34,24.6,17.6
18,'MWA51',682758.0,1527685.0,47.0,13.812788499091,100.69076935683,??,หมู่บ้านแมกไม้,ท่าแร้ง,บางเขน,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,240.0,240.0,120.31,65.8,9.0
19,'AFD9',672956.0,1531493.0,47.0,13.847814732648,100.60034802488,??,อาคารสวัสดิการลาดปลาเค้า,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,213.41,,18.18,39.63,109.76
20,'PW7792',676128.0,1535356.0,47.0,13.882536371079999,100.62993361131001,17,โรงงานกำจัดขยะมูลฝอยรามอินทรา ( 9922/487-30 ),ท่าแร้ง,บางเขน,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,175.0,172.55,30.0,34.0,18.1
21,'AFD12',672612.0,1534384.0,47.0,13.873965777158,100.59734455439,21,บริเวณเขตบางเขน,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,185.37,,26.14,,
22,'AFD13',672611.0,1534383.0,47.0,13.873956799117,100.59733524111999,21,บริเวณเขตบางเขน,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,185.37,,26.14,,
23,'G1256',681969.0,1521411.0,47.0,13.756133266729998,100.68306598209999,??,โรงเรียนนวมินทราชินูทิศน้อมเกล้า,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,250.5,183.0,22.73,55.5,3.9
24,'AFD16',679577.0,1526930.0,47.0,13.806165486787,100.66130112223,22,วัดสุวรรณประสิทธ์,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,195.12,,18.18,45.73,91.46
25,'AFD17',679516.0,1526895.0,47.0,13.805852963613999,100.660734728,22,วัดสุวรรณประสิทธ์,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,195.12,,18.18,45.73,91.46
26,'5401BK01',666052.0,1518481.0,47.0,13.730610737976,100.53571330400999,,โรงพยาบาลจุฬาลงกรณ์,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,บ่ออุปโภค-บริโภค,ใช้ได้-น้ำจืด,360.0,348.0,50.0,23.1,42.2
